"currentTime","timeDifference","totalIterations","accumulateIter","calibIter","inInternalZone","copterXPos","copterYPos","copterTheta","errorX","errorY","Xdiff","Ydiff","accumulateX","accumulateY","newPitch","newRoll","bestPitch","bestRoll","-rollToSendDeg","pitchToSendDeg","-calRollToSendRad","calPitchToSendRad","-rollCalib","pitchCalib"
"1483393344.007348","6.242280006408691","21","22","0","True","838.0","629.0","4.067439690900443","-76.07667385516874","52.889882729443485","0","0","-0.6202333231171101","0.4461822679273514","0","0","0","0","-0.7933482409416522","-1.141150107827531","-0.01384653891933711","-0.019916826641078734","0","0"
"1483393344.01277","6.24770188331604","22","23","0","True","838.0","629.0","4.067439690900443","-76.07667385516874","52.889882729443485","0","0","-0.6401501497581888","0.4600288068466885","0","0","0","0","-0.7933482409416522","-1.141150107827531","-0.01384653891933711","-0.019916826641078734","0","0"
"1483393344.018173","6.25310492515564","23","24","0","True","838.0","629.0","4.067439690900443","-76.07667385516874","52.889882729443485","0","0","-0.6600669763992676","0.47387534576602564","0","0","0","0","-0.7933482409416522","-1.141150107827531","-0.01384653891933711","-0.019916826641078734","0","0"
"1483393344.023598","6.258529901504517","24","25","0","True","843.0","631.0","4.075457902802273","-80.23165534014393","56.32833639812519","0","0","-0.6955751961038737","0.5006245372899542","0","0","0","0","-1.5326157797082183","-2.034471127097198","-0.026749191523928507","-0.03550821970460613","0","0"
"1483393344.029011","6.2639429569244385","25","26","0","True","843.0","631.0","4.075457902802273","-80.23165534014393","56.32833639812519","0","0","-0.7165797943540357","0.5153712612747279","0","0","0","0","-0.8449250459718778","-1.203474830102159","-0.014746723984773719","-0.02100459825016204","0","0"
"1483393344.034419","6.269351005554199","26","27","0","True","843.0","631.0","4.075457902802273","-80.23165534014393","56.32833639812519","0","0","-0.7375843926041977","0.5301179852595016","0","0","0","0","-0.8449250459718778","-1.203474830102159","-0.014746723984773719","-0.02100459825016204","0","0"
"1483393344.039763","6.274694919586182","27","28","0","True","843.0","631.0","4.075457902802273","-80.23165534014393","56.32833639812519","0","0","-0.7585889908543597","0.5448647092442753","0","0","0","0","-0.8449250459718778","-1.203474830102159","-0.014746723984773719","-0.02100459825016204","0","0"
"1483393344.045187","6.280118942260742","28","29","0","True","848.0","635.0","4.069271444772624","-86.77797651456612","57.433289928728726","0","0","-0.8041583836576599","0.5637577248250211","0","0","0","0","-1.0824900550516385","-2.6109338826029296","-0.01889301558074577","-0.04556939280330022","0","0"
"1483393344.050605","6.285537004470825","29","30","0","True","848.0","635.0","4.069271444772624","-86.77797651456612","57.433289928728726","0","0","-0.8268768047836222","0.5787937249676534","0","0","0","0","-0.8614993489309308","-1.3016696477184917","-0.015036000142632235","-0.022718421125962375","0","0"
"1483393344.055984","6.2909159660339355","30","31","0","True","848.0","635.0","4.069271444772624","-86.77797651456612","57.433289928728726","0","0","-0.8495952259095846","0.5938297251102856","0","0","0","0","-0.8614993489309308","-1.3016696477184917","-0.015036000142632235","-0.022718421125962375","0","0"
